"","state","year","urate","children","nonwhite","finc","earn","age","ed","work","unearn","post93","anykids","p93kids.interaction"
"38",74,1991,6.69999980926514,0,1,3588.2709251,3588.2709251,52,0,1,0,0,0,0
"39",81,1991,7.09999990463257,2,0,13886.431718,0,33,9,0,13.886431718,0,1,0
"40",82,1991,6.19999980926514,0,1,33409.218062,32288.546256,50,7,1,1.1206718062,0,0,0
"41",83,1991,5.19999980926514,1,1,4619.3832599,2356.8281938,49,9,1,2.2625550661,0,1,0
"42",84,1991,5.09999990463257,0,0,23568.281938,23568.281938,51,0,1,0,0,0,0
"43",85,1991,7.09999990463257,0,1,0,0,27,11,0,0,0,0,0
"44",86,1991,5.80000019073486,0,1,10900.330396,0,54,7,0,10.900330396,0,0,0
"45",87,1991,5,3,1,6881.938326,0,21,10,0,6.881938326,0,1,0
"46",88,1991,5.59999990463257,0,0,824.88986784,824.88986784,34,11,1,0,0,0,0
"47",91,1991,6.40000009536743,0,0,8390.30837,4713.6563877,54,9,1,3.6766519824,0,0,0
"48",92,1991,6.09999990463257,3,0,8343.1718062,0,31,11,0,8.3431718062,0,1,0
"49",93,1991,7.69999980926514,1,1,7466.4317181,0,46,7,0,7.4664317181,0,1,0
"50",94,1991,8.69999980926514,0,0,31784.185022,353.52422907,45,7,0,31.430660793,0,0,0
"51",95,1991,2.79999995231628,0,0,9193.9867841,9191.6299559,45,3,1,0.0023568281938,0,0,0
"52",11,1992,7.19999980926514,0,0,19459.052031,19447.612259,32,11,1,0.011439771917,0,0,0
"53",12,1992,7.5,1,0,0,0,27,10,0,0,0,1,0
"54",13,1992,6.69999980926514,2,0,68779.340699,68753.029223,43,9,1,0.02631147541,0,1,0
"55",14,1992,8.60000038146973,3,0,2070.598717,2059.1589451,31,7,1,0.011439771917,0,1,0
"56",15,1992,9,2,0,24463.952245,20339.914469,35,10,1,4.1240377762,0,1,0
"57",16,1992,7.59999990463257,0,0,36804.034212,32603.349964,52,10,1,4.200684248,0,0,0
"58",21,1992,8.60000038146973,0,1,11105.730577,0,22,11,0,11.105730577,0,0,0
"59",22,1992,8.5,0,1,31739.647185,25049.668567,47,7,0,6.6899786172,0,0,0
"60",23,1992,7.59999990463257,2,0,39471.789024,24481.111903,41,7,1,14.99067712,0,1,0
"61",31,1992,7.30000019073486,1,0,11439.771917,11439.771917,27,9,1,0,0,1,0
"62",32,1992,6.59999990463257,0,0,49733.264433,49733.264433,25,11,1,0,0,0,0
"63",33,1992,7.59999990463257,0,1,21689.807555,21689.807555,24,11,1,0,0,0,0
"64",34,1992,8.89999961853027,0,0,4475.2387741,0,21,11,0,4.4752387741,0,0,0
"65",35,1992,5.19999980926514,1,1,25626.233072,0,52,9,0,25.626233072,0,1,0
"66",41,1992,5.19999980926514,0,1,276.8424804,203.62794013,23,11,1,0.073214540271,0,0,0
"67",42,1992,4.69999980926514,0,0,17852.908054,6406.2722737,46,3,1,11.44663578,0,0,0
"68",43,1992,5.69999980926514,2,0,4919.1019244,4575.9087669,24,10,1,0.34319315752,0,1,0
"69",44,1992,5.09999990463257,3,0,7398.1004989,1415.0997862,34,10,1,5.9830007128,0,1,0
"70",45,1992,3.20000004768372,1,1,33203.93799,30887.384177,31,10,1,2.3165538133,0,1,0
"71",46,1992,3,0,0,1439.1233072,0,32,0,0,1.4391233072,0,0,0
"72",47,1992,4.30000019073486,0,0,12953.253742,0,49,7,0,12.953253742,0,0,0
"73",51,1992,5.30000019073486,0,0,17605.808981,13899.32288,46,11,1,3.7064861012,0,0,0
"74",52,1992,6.69999980926514,1,1,60001.603706,54453.314326,34,0,0,5.5482893799,0,1,0
"75",53,1992,8.60000038146973,3,1,4392.8724163,0,21,10,0,4.3928724163,0,1,0
"76",54,1992,6.40000009536743,1,0,0,0,32,10,0,0,0,1,0
"77",55,1992,11.3999996185303,3,0,0,0,36,11,0,0,0,1,0
"78",56,1992,6,0,1,14512.494654,14299.714897,52,11,1,0.21277975766,0,0,0
"79",57,1992,6.30000019073486,0,0,0,0,41,11,0,0,0,0,0
"80",58,1992,7,0,0,15268.663578,0,49,7,0,15.268663578,0,0,0
"81",59,1992,8.30000019073486,3,0,4996.8923735,0,25,11,0,4.9968923735,0,1,0
"82",61,1992,6.90000009536743,3,0,8236.6357805,0,36,7,0,8.2366357805,0,1,0
"83",62,1992,6.40000009536743,0,1,45865.477548,39124.019957,52,11,1,6.7414575909,0,0,0
"84",63,1992,7.40000009536743,0,0,5825.1318603,0,32,10,0,5.8251318603,0,0,0
"85",64,1992,8.19999980926514,2,1,1194.3121882,0,29,11,0,1.1943121882,0,1,0
"86",71,1992,7.30000019073486,0,1,11439.771917,11439.771917,45,10,1,0,0,0,0
"87",72,1992,8.19999980926514,2,1,11563.321454,0,41,10,0,11.563321454,0,1,0
"88",73,1992,5.69999980926514,0,0,3386.1724875,0,50,9,0,3.3861724875,0,0,0
"89",74,1992,7.69999980926514,0,1,11368.845331,11368.845331,35,11,1,0,0,0,0
"90",81,1992,6.90000009536743,1,0,6489.7826087,1707.9579473,20,9,1,4.7818246614,0,1,0
"91",82,1992,6.5,3,0,32470.64861,25167.498218,35,10,1,7.303150392,0,1,0
"92",83,1992,5.69999980926514,0,0,10638.987883,10410.192445,31,10,1,0.22879543835,0,0,0
"93",84,1992,6,2,1,61636.347113,45187.099073,40,9,1,16.44924804,0,1,0
"94",85,1992,7,1,1,3970.7448325,85.79828938,43,7,1,3.8849465431,0,1,0
"95",86,1992,7.59999990463257,1,1,23331.414825,21415.253029,25,11,1,1.9161617962,0,1,0
"96",87,1992,5,4,1,5147.8973628,0,38,7,0,5.1478973628,0,1,0
"97",88,1992,6.69999980926514,3,0,11256.735567,0,33,11,0,11.256735567,0,1,0
"98",91,1992,7.59999990463257,0,0,9190.7127584,6863.8631504,36,11,1,2.326849608,0,0,0
"99",92,1992,7.59999990463257,0,0,28908.303635,28599.429793,54,7,1,0.30887384177,0,0,0
"100",93,1992,9.30000019073486,1,1,15100.498931,15100.498931,37,0,1,0,0,1,0
"101",94,1992,9.19999980926514,2,0,18475.231646,18303.635068,33,11,1,0.17159657876,0,1,0
"102",95,1992,4.59999990463257,0,1,10295.794726,0,21,7,0,10.295794726,0,0,0
"103",11,1993,7.90000009536743,0,0,12773.356401,12773.356401,47,7,1,0,0,0,0
"104",12,1993,6.59999990463257,0,0,0,0,35,10,0,0,0,0,0
"105",13,1993,5.5,3,0,9921.0103806,0,33,10,0,9.9210103806,0,1,0
"106",14,1993,6.90000009536743,3,1,5795.7716263,0,35,7,0,5.7957716263,0,1,0
"107",15,1993,7.80000019073486,0,0,49427.33564,49427.33564,22,10,1,0,0,0,0
"108",16,1993,6.30000019073486,0,0,29610.861592,0,39,10,0,29.610861592,0,0,0
"109",21,1993,7.80000019073486,0,1,7070.8858131,0,47,3,0,7.0708858131,0,0,0
"110",22,1993,7.5,0,1,12217.99308,2221.4532872,41,11,1,9.9965397924,0,0,0
"111",23,1993,7.09999990463257,2,1,10309.764706,10309.764706,21,10,1,0,0,1,0
"112",31,1993,6.5,4,1,10340.865052,0,28,11,0,10.340865052,0,1,0
"113",32,1993,5.40000009536743,0,0,7161.9653979,1110.7266436,24,11,1,6.0512387543,0,0,0
"114",33,1993,7.5,7,0,16665.342561,5775.7785467,33,10,1,10.889564014,0,1,0
"115",34,1993,7.09999990463257,0,0,5553.633218,0,45,0,0,5.553633218,0,0,0
"116",35,1993,4.69999980926514,1,1,11938.089965,7108.650519,38,7,1,4.8294394464,0,1,0
"117",41,1993,5.09999990463257,0,0,5553.633218,5553.633218,23,0,1,0,0,0,0
"118",42,1993,4,2,0,5810.2110727,0,21,10,0,5.8102110727,0,1,0
"119",43,1993,6.5,2,0,4620.6228374,4620.6228374,30,11,1,0,0,1,0
"120",44,1993,4.40000009536743,0,0,22140.114187,0,47,7,0,22.140114187,0,0,0
"121",45,1993,3.59999990463257,2,0,3998.615917,0,28,11,0,3.998615917,0,1,0
"122",46,1993,2.70000004768372,0,0,10551.903114,10551.903114,50,11,1,0,0,0,0
"123",47,1993,5,0,0,11551.557093,11551.557093,52,7,1,0,0,0,0
"124",51,1993,5.30000019073486,1,0,4993.8269896,0,32,11,0,4.9938269896,0,1,0
"125",52,1993,6.19999980926514,2,1,1777.1626298,1777.1626298,39,0,1,0,0,1,0
"126",53,1993,8.60000038146973,0,1,25546.712803,25546.712803,34,11,1,0,0,0,0
"127",54,1993,5.09999990463257,0,1,26524.152249,26524.152249,36,3,1,0,0,0,0
"128",55,1993,10.8999996185303,2,0,2679.0726644,0,23,9,0,2.6790726644,0,1,0
"129",56,1993,4.90000009536743,0,0,28101.384083,26657.439446,49,10,1,1.4439446367,0,0,0
"130",57,1993,7.59999990463257,1,0,5553.633218,5553.633218,26,10,1,0,0,1,0
"131",58,1993,5.80000019073486,1,0,23517.415225,2075.9480969,40,7,0,21.441467128,0,1,0
"132",59,1993,7,1,0,5997.9238754,0,24,10,0,5.9979238754,0,1,0
"133",61,1993,6.19999980926514,1,0,16096.650519,16096.650519,47,9,1,0,0,1,0
"134",62,1993,5.69999980926514,1,1,6997.5778547,6997.5778547,44,11,1,0,0,1,0
"135",63,1993,7.59999990463257,0,1,8441.5224913,0,34,11,0,8.4415224913,0,0,0
"136",64,1993,6.40000009536743,0,0,16692,9863.2525952,20,11,0,6.8287474048,0,0,0
"137",71,1993,6.19999980926514,0,0,25803.290657,25546.712803,53,11,1,0.25657785467,0,0,0
"138",72,1993,7.5,0,0,5904.6228374,0,42,10,0,5.9046228374,0,0,0
"139",73,1993,6.09999990463257,2,0,5764.6712803,0,40,11,0,5.7646712803,0,1,0
"140",74,1993,7.19999980926514,2,1,5331.4878893,0,49,7,0,5.3314878893,0,1,0
"141",81,1993,6.09999990463257,4,0,8090.532872,0,32,9,0,8.090532872,0,1,0
"142",82,1993,6.19999980926514,2,0,11548.224913,0,31,11,0,11.548224913,0,1,0
"143",83,1993,5.5,0,0,15661.245675,0,39,7,0,15.661245675,0,0,0
"144",84,1993,5.30000019073486,0,1,3887.5432526,3887.5432526,21,11,1,0,0,0,0
"145",85,1993,7.69999980926514,0,1,34563.591696,1288.4429066,37,7,1,33.275148789,0,0,0
"146",86,1993,6.30000019073486,3,0,6904.2768166,1332.8719723,34,11,0,5.5714048443,0,1,0
"147",87,1993,3.90000009536743,0,0,13350.934256,13328.719723,26,11,1,0.022214532872,0,0,0
"148",88,1993,7.30000019073486,0,0,40488.207612,40488.207612,52,9,1,0,0,0,0
"149",91,1993,7.59999990463257,0,0,5331.4878893,0,38,3,0,5.3314878893,0,0,0
"150",92,1993,7.30000019073486,0,0,57791.107266,7775.0865052,21,11,1,50.016020761,0,0,0
"151",93,1993,9.39999961853027,3,1,32455.432526,32438.771626,33,11,1,0.016660899654,0,1,0
"152",94,1993,7.69999980926514,0,0,2110.3806228,0,21,10,0,2.1103806228,0,0,0
"153",95,1993,4.30000019073486,1,0,1602.7785467,266.57439446,38,3,1,1.3362041522,0,1,0
"154",11,1994,7.40000009536743,1,0,6164.4129555,1262.7732794,38,9,1,4.9016396761,1,1,1
"155",12,1994,4.59999990463257,4,0,9396.0728745,0,30,11,0,9.3960728745,1,1,1
"156",13,1994,4.69999980926514,1,0,2393.4210526,2274.291498,31,9,1,0.11912955466,1,1,1
"157",14,1994,6,1,1,0,0,30,7,0,0,1,1,1
"158",15,1994,7.09999990463257,2,0,17111.336032,8663.9676113,36,11,1,8.4473684211,1,1,1
"159",16,1994,5.59999990463257,0,0,12021.255061,12021.255061,54,11,1,0,1,0,0
"160",21,1994,6.90000009536743,1,1,9630,0,48,7,0,9.63,1,1,1
"161",22,1994,6.80000019073486,0,1,25377.84413,24908.906883,52,7,1,0.46893724696,1,0,0
"162",23,1994,6.19999980926514,3,0,7041.6396761,0,32,11,0,7.0416396761,1,1,1
"163",31,1994,5.5,4,1,7004.8178138,0,40,11,0,7.0048178138,1,1,1
"164",32,1994,4.90000009536743,2,0,8756.0222672,7331.8825911,47,7,1,1.4241396761,1,1,1
"165",33,1994,5.69999980926514,3,1,5380.3238866,0,25,11,0,5.3803238866,1,1,1
"166",34,1994,5.90000009536743,0,1,5978.1376518,0,52,10,0,5.9781376518,1,0,0
"167",35,1994,4.69999980926514,0,1,4378.5526316,4331.9838057,21,11,1,0.046568825911,1,0,0
"168",41,1994,4,1,0,0,0,28,9,0,0,1,1,1
"169",42,1994,3.70000004768372,1,0,20771.862348,216.59919028,54,10,1,20.555263158,1,1,1
"170",43,1994,4.90000009536743,1,0,7719.5951417,0,24,10,0,7.7195951417,1,1,1
"171",44,1994,3.90000009536743,2,0,1646.1538462,1646.1538462,21,10,0,0,1,1,1
"172",45,1994,3.29999995231628,2,0,7901.5384615,541.49797571,46,10,0,7.3600404858,1,1,1
"173",46,1994,2.90000009536743,0,0,16343.491903,10015.546559,45,7,0,6.3279453441,1,0,0
"174",47,1994,5.30000019073486,0,0,0,0,25,0,0,0,1,0,0
"175",51,1994,4.90000009536743,0,1,65662.044534,59239.878543,48,9,1,6.4221659919,1,0,0
"176",52,1994,5.09999990463257,3,1,38289.321862,38289.321862,22,11,1,0,1,1,1
"177",53,1994,8.19999980926514,2,1,6666.9230769,0,23,10,0,6.6669230769,1,1,1
"178",54,1994,4.90000009536743,2,1,25991.902834,25991.902834,46,10,1,0,1,1,1
"179",55,1994,8.89999961853027,1,0,7576.6396761,0,46,7,0,7.5766396761,1,1,1
"180",56,1994,4.40000009536743,0,0,49817.813765,49817.813765,45,11,1,0,1,0,0
"181",57,1994,6.30000019073486,2,0,19493.927126,19493.927126,27,11,1,0,1,1,1
"182",58,1994,5.19999980926514,1,1,74163.562753,74163.562753,39,11,1,0,1,1,1
"183",59,1994,6.59999990463257,5,1,5497.2874494,0,20,11,0,5.4972874494,1,1,1
"184",61,1994,5.40000009536743,1,0,9255.2834008,9255.2834008,48,9,1,0,1,1,1
"185",62,1994,4.80000019073486,0,1,7902.6214575,0,42,11,0,7.9026214575,1,0,0
"186",63,1994,6,0,1,17327.935223,17327.935223,43,11,0,0,1,0,0
"187",64,1994,6.59999990463257,0,0,3790.48583,3790.48583,35,11,1,0,1,0,0
"188",71,1994,5.30000019073486,0,0,3898.7854251,3898.7854251,33,10,1,0,1,0,0
"189",72,1994,8,1,0,24568.846154,4548.582996,20,11,1,20.020263158,1,1,1
"190",73,1994,5.80000019073486,1,0,6653.9271255,0,43,7,0,6.6539271255,1,1,1
"191",74,1994,6.40000009536743,1,1,2577.5303644,0,50,9,0,2.5775303644,1,1,1
"192",81,1994,5.09999990463257,2,0,7676.2753036,3465.5870445,32,10,1,4.2106882591,1,1,1
"193",82,1994,5.59999990463257,1,0,14078.947368,14078.947368,35,10,1,0,1,1,1
"194",83,1994,5.30000019073486,1,1,4316.8218623,0,23,9,0,4.3168218623,1,1,1
"195",84,1994,4.19999980926514,2,0,18957.84413,15161.94332,28,11,1,3.7959008097,1,1,1
"196",85,1994,6.30000019073486,0,0,0,0,28,11,0,0,1,0,0
"197",86,1994,6.40000009536743,2,1,6349.6052632,324.89878543,21,10,1,6.0247064777,1,1,1
"198",87,1994,3.70000004768372,0,1,14283.633603,0,47,9,0,14.283633603,1,0,0
"199",88,1994,6.19999980926514,3,1,11351.963563,11351.963563,30,9,1,0,1,1,1
"200",91,1994,6.40000009536743,2,0,10266.801619,3248.9878543,30,11,1,7.0178137652,1,1,1
"201",92,1994,5.40000009536743,0,0,7797.5708502,0,54,11,0,7.7975708502,1,0,0
"202",93,1994,8.60000038146973,1,1,10851.619433,10829.959514,38,7,1,0.021659919028,1,1,1
"203",94,1994,7.80000019073486,0,0,62034.008097,60073.785425,48,9,1,1.9602226721,1,0,0
"204",95,1994,6.09999990463257,3,0,7473.7550607,0,26,11,0,7.4737550607,1,1,1
"205",11,1995,5.69999980926514,2,0,8795.9055118,0,23,9,0,8.7959055118,1,1,1
"206",12,1995,4,1,0,15797.244094,15797.244094,38,7,1,0,1,1,1
"207",13,1995,4.19999980926514,3,0,13623.543307,2422.2440945,37,10,1,11.201299213,1,1,1
"208",14,1995,5.40000009536743,0,0,75133.799213,63989.370079,25,0,0,11.144429134,1,0,0
"209",15,1995,7,1,0,0,0,20,10,0,0,1,1,1
"210",16,1995,5.5,1,1,15797.244094,15797.244094,42,7,1,0,1,1,1
"211",21,1995,6.30000019073486,3,1,13324.448819,0,21,9,0,13.324448819,1,1,1
"212",22,1995,6.40000009536743,1,1,26350.856299,26328.740157,44,7,1,0.022116141732,1,1,1
"213",23,1995,5.90000009536743,0,1,7898.6220472,7898.6220472,41,7,1,0,1,0,0
"214",31,1995,4.80000019073486,2,0,56684.724409,50656.496063,46,10,0,6.0282283465,1,1,1
"215",32,1995,4.69999980926514,0,0,81946.624016,75826.771654,22,11,1,6.1198523622,1,0,0
"216",33,1995,5.19999980926514,1,0,22442.61811,21062.992126,31,11,1,1.3796259843,1,1,1
"217",34,1995,5.30000019073486,0,0,5802.8543307,0,47,11,0,5.8028543307,1,0,0
"218",35,1995,3.70000004768372,2,1,8151.3779528,985.7480315,35,11,1,7.1656299213,1,1,1
"219",41,1995,3.70000004768372,0,0,30175.895669,12058.562992,37,11,1,18.117332677,1,0,0
"220",42,1995,3.5,0,1,13706.742126,13690.944882,21,9,1,0.015797244094,1,0,0
"221",43,1995,4.80000019073486,0,0,17561.269685,17376.968504,54,11,1,0.1843011811,1,0,0
"222",44,1995,3.29999995231628,1,0,1174.261811,0,22,10,0,1.174261811,1,1,1
"223",45,1995,2.90000009536743,5,0,10080.748031,8425.1968504,37,7,1,1.6555511811,1,1,1
"224",46,1995,2.59999990463257,2,0,54601.594488,54131.889764,21,10,1,0.46970472441,1,1,1
"225",47,1995,4.40000009536743,0,0,27381.889764,27381.889764,51,11,1,0,1,0,0
"226",51,1995,4.30000019073486,3,0,3822.9330709,0,33,11,0,3.8229330709,1,1,1
"227",52,1995,5.09999990463257,0,0,18485.935039,18485.935039,29,7,1,0,1,0,0
"228",53,1995,8.89999961853027,1,1,4170.4724409,0,25,10,0,4.1704724409,1,1,1
"229",54,1995,4.5,2,1,17364.330709,0,34,11,0,17.364330709,1,1,1
"230",55,1995,7.90000009536743,0,0,18106.801181,10952.755906,49,7,1,7.1540452756,1,0,0
"231",56,1995,4.30000019073486,0,1,5742.8248031,0,40,10,0,5.7428248031,1,0,0
"232",57,1995,5.09999990463257,2,1,9130.8070866,0,29,10,0,9.1308070866,1,1,1
"233",58,1995,4.90000009536743,0,1,46801.968504,40862.204724,20,11,0,5.9397637795,1,0,0
"234",59,1995,5.5,0,1,63188.976378,63188.976378,45,0,1,0,1,0,0
"235",61,1995,5.40000009536743,0,0,6192.519685,0,36,7,0,6.192519685,1,0,0
"236",62,1995,5.19999980926514,0,0,6040.8661417,0,54,11,0,6.0408661417,1,0,0
"237",63,1995,6.30000019073486,0,0,0,0,48,11,0,0,1,0,0
"238",64,1995,6.09999990463257,0,1,14423.937008,11584.645669,52,11,1,2.8392913386,1,0,0
"239",71,1995,4.90000009536743,0,0,10110.23622,10110.23622,38,3,1,0,1,0,0
"240",72,1995,6.90000009536743,1,0,1352.2440945,0,21,11,0,1.3522440945,1,1,1
"241",73,1995,4.69999980926514,0,0,5371.0629921,5371.0629921,22,11,1,0,1,0,0
"242",74,1995,6,2,0,42378.740157,41072.834646,24,7,0,1.3059055118,1,1,1
"243",81,1995,5.90000009536743,1,0,4246.2992126,0,22,10,0,4.2462992126,1,1,1
"244",82,1995,5.40000009536743,0,0,6192.519685,0,37,11,0,6.192519685,1,0,0
"245",83,1995,4.80000019073486,1,0,21830.738189,20009.84252,37,9,1,1.8208956693,1,1,1
"246",84,1995,4.19999980926514,3,1,5149.9015748,94.783464567,20,11,1,5.0551181102,1,1,1
"247",85,1995,6.30000019073486,0,0,21070.364173,15375.984252,20,11,0,5.6943799213,1,0,0
"248",86,1995,5.09999990463257,0,1,12253.395669,8778.0019685,52,9,1,3.4753937008,1,0,0
"249",87,1995,3.59999990463257,0,1,32437.007874,31859.88189,26,10,1,0.57712598425,1,0,0
"250",88,1995,5.40000009536743,1,1,16850.393701,16850.393701,27,10,1,0,1,1,1
"251",91,1995,6.40000009536743,1,0,37755.413386,32647.637795,27,11,1,5.1077755906,1,1,1
"252",92,1995,4.80000019073486,2,0,5402.6574803,0,21,11,0,5.4026574803,1,1,1
"253",93,1995,7.80000019073486,1,1,15007.38189,15007.38189,50,3,1,0,1,1,1
"254",94,1995,7.30000019073486,1,0,0,0,24,7,0,0,1,1,1
"255",95,1995,5.90000009536743,1,0,7013.976378,0,26,10,0,7.013976378,1,1,1
"256",11,1996,5.09999990463257,0,0,8224.4741874,0,53,0,0,8.2244741874,1,0,0
"257",12,1996,4.19999980926514,0,0,11288.193117,0,54,7,0,11.288193117,1,0,0
"258",13,1996,4.59999990463257,0,0,2520.5353728,2455.0669216,30,9,1,0.065468451243,1,0,0
"259",14,1996,4.30000019073486,2,1,10745.00956,10745.00956,32,7,1,0,1,1,1
"260",15,1996,5.09999990463257,1,1,7553.4225621,7553.4225621,30,7,1,0,1,1,1
"261",16,1996,5.69999980926514,1,1,16444.856597,10638.623327,39,7,1,5.8062332696,1,1,1
"262",21,1996,6.19999980926514,0,1,10587.476099,3068.833652,24,9,0,7.5186424474,1,0,0
"263",22,1996,6.19999980926514,0,1,10865.717017,7160.6118547,40,11,1,3.7051051625,1,0,0
"264",23,1996,5.30000019073486,0,0,5388.8718929,0,47,11,0,5.3888718929,1,0,0
"265",31,1996,4.90000009536743,0,0,0,0,20,7,0,0,1,0,0
"266",32,1996,4.09999990463257,2,0,0,0,34,10,0,0,1,1,1
"267",33,1996,5.30000019073486,0,0,4910.1338432,0,24,11,0,4.9101338432,1,0,0
"268",34,1996,4.90000009536743,0,0,10229.445507,10229.445507,45,11,1,0,1,0,0
"269",35,1996,3.5,0,0,8328.8145315,8183.5564054,42,10,1,0.1452581262,1,0,0
"270",41,1996,4,1,0,6837.3613767,0,34,11,0,6.8373613767,1,1,1
"271",42,1996,3.79999995231628,0,0,3682.6003824,0,46,7,0,3.6826003824,1,0,0
"272",43,1996,4.59999990463257,0,1,59379.885277,50124.282983,47,0,0,9.2556022945,1,0,0
"273",44,1996,3.09999990463257,0,0,25573.613767,0,53,9,0,25.573613767,1,0,0
"274",45,1996,3.20000004768372,2,0,3944.4741874,225.04780115,28,10,1,3.7194263862,1,1,1
"275",46,1996,2.90000009536743,2,1,26391.969407,26391.969407,49,3,1,0,1,1,1
"276",47,1996,4.5,0,0,9411.0898662,9411.0898662,52,11,1,0,1,0,0
"277",51,1996,5.19999980926514,0,1,9040.7839388,0,26,11,0,9.0407839388,1,0,0
"278",52,1996,4.90000009536743,0,1,491.01338432,491.01338432,28,0,1,0,1,0,0
"279",53,1996,8.5,0,1,11366.959847,0,47,10,0,11.366959847,1,0,0
"280",54,1996,4.40000009536743,0,1,12177.131931,2761.9502868,23,10,1,9.4151816444,1,0,0
"281",55,1996,7.5,0,0,5941.2619503,0,52,7,0,5.9412619503,1,0,0
"282",56,1996,4.30000019073486,2,0,4296.3671128,4296.3671128,33,11,1,0,1,1,1
"283",57,1996,6,0,0,38794.14914,36744.16826,54,7,1,2.0499808795,1,0,0
"284",58,1996,4.59999990463257,2,1,12070.745698,12070.745698,23,0,1,0,1,1,1
"285",59,1996,5.09999990463257,0,1,32511.223709,0,53,11,0,32.511223709,1,0,0
"286",61,1996,5.59999990463257,0,0,28591.300191,11252.390057,38,10,0,17.338910134,1,0,0
"287",62,1996,5.19999980926514,1,0,6935.5640535,0,37,9,0,6.9355640535,1,1,1
"288",63,1996,5.09999990463257,1,0,5626.1950287,5626.1950287,25,9,1,0,1,1,1
"289",64,1996,6.09999990463257,3,1,2667.8393881,0,32,11,0,2.6678393881,1,1,1
"290",71,1996,5.40000009536743,0,0,8304.2638623,0,51,7,0,8.3042638623,1,0,0
"291",72,1996,6.69999980926514,0,0,11808.871893,0,29,9,0,11.808871893,1,0,0
"292",73,1996,4.09999990463257,0,0,6837.3613767,0,39,0,0,6.8373613767,1,0,0
"293",74,1996,5.59999990463257,2,1,3011.5487572,703.78585086,21,11,1,2.3077629063,1,1,1
